Title	Genre
Fatso (2008)	'Comedy', 'Drama'
Kismat (2004)	'Action', 'Drama'
To Cross the Rubicon (1991)	'Comedy'
Serial Mom (1994)	'Comedy', 'Crime', 'Horror'
Midnight Bayou (2009)	'Drama', 'Mystery', 'Romance'
In Fear (2013)	'Horror', 'Mystery', 'Thriller'
The Sand (2015)	'Horror', 'Sci-Fi'
Astro Boy (2009)	'Animation', 'Action', 'Comedy'
Crimes Against Humanity (2014)	'Comedy'
Wolf Creek (2005)	'Horror'
A Century of Cinema (1994)	'Documentary'
A Cinderella Story (2004)	'Comedy', 'Family', 'Romance'
Behind Enemy Lines: Colombia (2009)	'Action', 'Thriller'
Omar (2013)	'Drama', 'Romance', 'Thriller'
True Lies (1994)	'Action', 'Comedy', 'Thriller'
La naissance de Charlot (2013)	'Documentary', 'Biography'
Justice League: Doom (2012)	'Animation', 'Action', 'Fantasy'
Best Kept Secret (2013)	'Documentary', 'Drama'
Winnie Mandela (2011)	'Biography', 'Drama'
Silver Tongues (2011)	'Drama'
Sexo, mentiras y muertos (2011)	'Crime', 'Drama', 'Romance'
The General's Daughter (1999)	'Crime', 'Drama', 'Mystery'
Louis C.K. Oh My God (2013)	'Documentary', 'Comedy'
A Very Merry Mix-Up (2013)	'Comedy', 'Drama', 'Family'
A Very Brady Sequel (1996)	'Comedy'
Hiroshima (2005)	'Documentary', 'Drama'
Stoked: The Rise and Fall of Gator (2002)	'Documentary'
99 Homes (2014)	'Drama'
Sonja i bik (2012)	'Comedy', 'Romance'
Last Hijack (2014)	'Documentary', 'Animation'
B-Movie: Lust & Sound in West-Berlin 1979-1989 (2015)	'Documentary'
Un grand cri d'amour (1998)	'Comedy'
River Queen (2005)	'Action', 'Adventure', 'Drama'
Paziraie sadeh (2012)	'Comedy', 'Drama'
Big Momma's House 2 (2006)	'Comedy', 'Crime'
The Secret of Moonacre (2008)	'Adventure', 'Family', 'Fantasy'
Adoration (2008)	'Drama', 'Romance'
Hotel California (2008)	'Action', 'Crime', 'Drama'
The Intruder (1999)	'Drama', 'Mystery', 'Romance'
There's Only One Sun (2007)	'Drama', 'Romance'
Draft Day (2014)	'Drama'
Analyze That (2002)	'Comedy', 'Crime'
Strongman (2009)	'Documentary'
Kony 2012 (2012)	'Documentary', 'Biography'
Courageous (2011)	'Drama'
Assassins (1995)	'Action', 'Crime', 'Thriller'
Katedra (2002)	'Animation', 'Sci-Fi'
Chain of Command (2015)	'Action', 'Thriller'
Mockingbird Don't Sing (2001)	'Biography', 'Drama'
Bear's Kiss (2002)	'Drama', 'Fantasy', 'Romance'
Ka-woon-teu-da-woon (2011)	'Action', 'Drama'
Bellflower (2011)	'Action', 'Drama', 'Romance'
Below Sea Level (2008)	'Documentary'
10 MPH (2007)	'Documentary'
Undercover Bridesmaid (2012)	'Mystery', 'Romance'
Gadar: Ek Prem Katha (2001)	'Action', 'Drama', 'Romance'
Werewolf: The Devil's Hound (2007)	'Action', 'Comedy', 'Horror'
Harrison's Flowers (2000)	'Drama', 'Romance'
Teen Beach 2 (2015)	'Family'
Opposite Day (2009)	'Comedy', 'Family'
Shark Tale (2004)	'Animation', 'Adventure', 'Comedy'
Love Under New Management: The Miki Howard Story (2016)	'Biography'
Spy Game (2001)	'Action', 'Crime', 'Thriller'
Guts (2009)	'Drama'
Into Thin Air: Death on Everest (1997)	'Adventure', 'Biography', 'Drama'
CÌ¢nd se lasÌ£ seara peste Bucuresti sau metabolism (2013)	'Drama'
Kikujiro (1999)	'Drama', 'Comedy'
The Princess of Nebraska (2007)	'Drama'
Asier ETA biok (2013)	'Documentary', 'Biography', 'Family'
The Art of Football from A to Z (2006)	'Documentary', 'Comedy'
Full Frontal (2002)	'Comedy', 'Romance'
Dah (2002)	'Drama'
Tomorrowland (2015)	'Action', 'Adventure', 'Family'
Attila (2013)	'Action', 'Horror', 'Thriller'
Marvel One-Shot: Item 47 (2012)	'Action', 'Sci-Fi'
Something's Gotta Give (2003)	'Comedy', 'Drama', 'Romance'
Mune: Guardian of the Moon (2014)	'Animation', 'Adventure'
J'ai pas sommeil (1994)	'Drama', 'Mystery', 'Romance'
Forever Hardcore: The Documentary (2005)	'Documentary'
L'oeil de Vichy (1993)	'Documentary'
Mortal Kombat: The Journey Begins (1995)	'Animation', 'Action', 'Adventure'
3x3 Eyes: Legend of the Divine Demon (1995)	'Animation'
Pervye na Lune (2005)	'Mystery', 'Sci-Fi'
Don's Plum (2001)	'Comedy', 'Drama'
CafÌ© (2011)	'Drama'
